ID_PREG;TEXTO
1;¿Cual de las siguientes expresiones es equivalente a 3x(2+5y)?
2;Una compañia de telefono cobra $2 por los primeros cinco minutos de una llamada y 30 centavos por cada minuto despues. Si Bill hace una llamada que dura 25 minutos, ¿cuanto sera el costo de esa llamada?
3;¿Si y=3ab+2b^3, a que equivale y cuando a=1 y b=2?
4;Emma necesita ordenar fertilizante liquido para su compañia de jardineria.Ella piensa guardar el fertilizante en un tanque cilindrico, pero no esta segura cuanto fertilizante le cabe. El tanque mide 10 pies de altura y la base circular tiene un radio de 5 pies. ¿Cual es volumen de este tanque de almacenamiento?
5;¿Cuantas contraseñas se pueden formar del conjunto de letras {A, B, C, D} si cada letra se puede usar solo una vez?
6;Factoriza: 4y(3x+2)-2(3x+2)
7;Si a=-4, y b=3, ¿cual es |a-b|?
8;Si 10 pulgadas en un mapa representan una distancia actual de 100 pies, entonces ¿que distancia real es representada por 25 pulgadas en el mapa?
9;Si el radio de la region semicircular que se muestra a continuacion de 4, entonces ¿cual es el area de la region semicircular en p pulgadas cuadradas?
10;Hace cinco años Amy tenia tres veces mas edad que Mike. Si Mike tiene 10 akos ahora ¿Que edad tiene Amy?
11;Joe tiene un presupuesto de $300 para gastar en los días festivos. Joe decide comprar zapatos para sus nietos. Si cada par de zapatos cuesta $40 y Joe tiene n nietos ¿Cuál de las siguientes desigualdades representa la restricción presupuestaria de Joe?
12;El área de un círculo es de 100pi. ¿Cuál es el diámetro (D) del círculo?
13;¿Cuál es la probabilidad de seleccionar un hombre de un grupo de 4 hombres y 8 mujeres?
14;Al final de cada mes, Katie ahorra el 20 por ciento de su salario después de los impuestos. Si a katie se le cobra impuestos con una tasa del 25 por ciento y S representa el salario mensual antes de los impuestos, ¿Cuál de las siguientes expresiones representa el total de los ahorros de Katie al final de seis meses?
15;¿Cuáles son las soluciones a la siguiente ecuación? x^2+8x+15=0
16;¿Cuál es la pendiente de la línea y=3x-7 ?
17;¿Cuántos comités diferentes de 3 personas se pueden formar seleccionando de un grupo de 5 personas?
18;A un productor de bebidas le gustaría probar la confiabilidad de dos procesos de producción de jugo de naranja y sidra de manzana respectivamente. Una revisión del proceso de manufactura del jugo de naranja encontró que el 10% de las botellas no se han llenado al nivel correcto. Una revisión del proceso de manufactura de la sidra de manzana encontró que el 15% de las botellas no se han llenado al nivel correcto. Si dos botellas son seleccionadas al azar (una de cada proceso), ¿Cuál es la probabilidad de seleccionar una sin llenar de jugo de naranja y una sin llenar de sidra de manzana?
19;El 15 de abril del 2015 Jorge compra 10 acciones de Bling-Bling Inc. al precio de $450 por acción. El precio de las acciones de Bling-Bling se incrementó a $600 el 15 de julio del 2015. ¿Cuál es el incremento del porcentaje en el valor de las acciones de Jorge redondeado al porcentaje más cercano?
20;¿Que resulta de operar (3x+4y)(2x+5y)?
21;Una fábrica produce 500 telefonos por mes. El costo de manufactura por cada telefono es de $200. Si la compañía desea tener una ganancia total de $10,000 o más en 500 telefonos, ¿Cuál de las siguientes desigualdades nos dará el precio de venta Y, por cada telefono para poder obtener la ganancia deseada?
22;¿Cuál es la ecuación de la línea que pasa a través de los puntos A(1, 2) y B(4, 3)?
23;Dado f(x)=x^2+4x-3, encuentre f(-3)
24;Sofía está manejando a Texas. Ella viaja a 70 kilómetros por hora por cada 2 horas, y a 63 kilómetros por hora cada 5 horas. En un período de 7 horas ¿Cuál es la velocidad promedio de Sofía?
25;44 es 80% ¿de qué número?
26;Resuelva para x: 14.5x-5(x+2)<=4+4(4-1/8x)  
